symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MCLM6,-2,0,0.01,11718233245,11718233224,1,98.23,97.98,$(25.00),05/11/2026 10:45:16,05/11/2026 10:44:48,28sec
MNQM6,-2,0,0.25,11718233363,11718233312,1,28960.50,28943.00,$(35.00),05/12/2026 13:24:35,05/12/2026 13:19:30,5min 5sec
MESM6,-2,0,0.25,11718233397,11718233375,1,7434.00,7426.00,$(40.00),05/12/2026 14:53:52,05/12/2026 14:34:38,19min 13sec
MESM6,-2,0,0.25,11718233465,11718233426,1,7403.00,7433.75,$153.75,05/13/2026 08:48:07,05/13/2026 08:20:43,27min 23sec
MESM6,-2,0,0.25,11718233494,11718233514,1,7488.00,7483.00,$(25.00),05/14/2026 07:54:12,05/14/2026 08:12:16,18min 4sec
MESM6,-2,0,0.25,11718233573,11718233530,1,7501.50,7495.50,$(30.00),05/14/2026 09:15:59,05/14/2026 08:58:53,17min 6sec
MESM6,-2,0,0.25,11718233600,11718233619,1,7494.50,7484.50,$(50.00),05/14/2026 20:53:19,05/15/2026 00:31:17,3h 37min 57sec
MESM6,-2,0,0.25,11718233641,11718233680,1,7420.50,7451.75,$156.25,05/15/2026 08:47:16,05/15/2026 09:27:10,39min 53sec
MESM6,-2,0,0.25,11718233702,11718233732,1,7416.50,7415.25,$(6.25),05/15/2026 15:03:06,05/15/2026 15:22:31,19min 24sec
MESM6,-2,0,0.25,11718233767,11718233822,1,7417.25,7442.75,$127.50,05/18/2026 08:45:09,05/18/2026 09:00:05,14min 56sec
MESM6,-2,0,0.25,11718233842,11718233875,1,7431.50,7426.25,$(26.25),05/18/2026 09:04:26,05/18/2026 09:06:00,1min 33sec
MESM6,-2,0,0.25,11718233963,11718233909,1,7389.50,7416.25,$133.75,05/18/2026 11:29:16,05/18/2026 11:20:29,8min 47sec
MNQM6,-2,0,0.25,11718234085,11718234046,1,28963.50,28923.50,$(80.00),05/19/2026 08:47:51,05/19/2026 08:45:39,2min 11sec
MESM6,-2,0,0.25,11718234113,11718234161,1,7385.00,7379.50,$(27.50),05/19/2026 09:01:18,05/19/2026 09:02:32,1min 13sec
MESM6,-2,0,0.25,11718234224,11718234201,1,7394.25,7384.25,$(50.00),05/19/2026 11:45:54,05/19/2026 11:27:52,18min 2sec
MESM6,-2,0,0.25,11718234341,11718234320,1,7420.00,7422.00,$10.00,05/20/2026 09:17:11,05/20/2026 09:17:02,8sec
MESM6,-2,0,0.25,11718234390,11718234365,1,7426.25,7412.00,$(71.25),05/20/2026 09:31:13,05/20/2026 09:18:15,12min 57sec
MESM6,-2,0,0.25,11718234464,11718234406,1,7432.00,7419.50,$(62.50),05/20/2026 09:56:21,05/20/2026 09:39:13,17min 7sec
MESM6,-2,0,0.25,11718234547,11718234516,1,7425.50,7467.75,$211.25,05/21/2026 08:52:03,05/21/2026 03:16:00,5h 36min 3sec
